neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Neighborhood highlights,40.74698,-73.91763,Private room,66.0,30,16,0.23,3,77
,40.72314,-73.99323,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.64607,-74.00552,Private room,,30,1,0.01,1,0
Neighborhood highlights,40.6837,-73.96115,Entire home/apt,,90,1,0.01,1,0
Neighborhood highlights,40.72147,-73.9827,Private room,76.0,30,20,0.4,8,168
Neighborhood highlights,40.6823,-73.84545,Entire home/apt,97.0,30,93,1.46,2,364
Neighborhood highlights,40.69454,-73.91363,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.713163020317545,-73.94307731925448,Private room,60.0,30,26,0.86,1,187
Neighborhood highlights,40.67412,-73.94123,Entire home/apt,425.0,30,1,0.03,1,224
Neighborhood highlights,40.75356,-73.98559,Entire home/apt,240.0,30,47,0.24,3,289
,40.70935,-73.95342,Entire home/apt,96.0,30,195,0.98,1,285
Neighborhood highlights,40.80107,-73.94255,Private room,59.0,30,1,0.02,2,83
Neighborhood highlights,40.78778,-73.94759,Private room,73.0,30,249,1.28,1,186
Neighborhood highlights,40.71248,-73.95881,Private room,,30,13,0.07,2,0
Neighborhood highlights,40.69194,-73.97389,Private room,216.0,2,423,2.21,2,0
Neighborhood highlights,40.70652,-73.90286,Private room,83.0,30,25,0.36,4,333
Neighborhood highlights,40.81632,-73.9408,Private room,,30,0,0.0,1,0
,40.76561,-73.97729,Entire home/apt,420.0,30,12,0.18,6,274
,40.60495,-74.01262,Entire home/apt,,30,1,0.02,1,263
Neighborhood highlights,40.71478,-73.96382,Private room,,30,1,0.01,1,0
Neighborhood highlights,40.70797,-74.00683,Entire home/apt,448.0,1,34,0.49,86,245
,40.68785,-73.91803,Private room,,60,0,0.0,1,0
Neighborhood highlights,40.7197,-73.99284,Entire home/apt,,30,5,0.07,1,0
,40.68977,-73.91641,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.65953,-73.89367,Private room,99.0,30,54,0.77,8,365
Neighborhood highlights,40.65797,-73.89294,Private room,90.0,30,76,1.12,8,365
Neighborhood highlights,40.71880722045898,-73.9561767578125,Entire home/apt,,30,12,0.06,1,91
,40.68455584344908,-73.93963415175676,Entire home/apt,170.0,30,189,0.96,2,275
Neighborhood highlights,40.76724,-73.98664,Entire home/apt,175.0,30,58,0.3,1,71
Neighborhood highlights,40.68294,-73.95682,Private room,90.0,30,82,0.44,6,244
,40.63702,-73.96327,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.72296,-73.98383,Private room,,30,315,1.62,2,0
Neighborhood highlights,40.74757,-73.94571,Private room,232.0,2,456,2.45,1,203
Neighborhood highlights,40.67946,-73.95417,Entire home/apt,151.0,30,80,0.42,1,286
,40.73535,-73.95584,Entire home/apt,115.0,30,176,0.91,1,300
Neighborhood highlights,40.721359,-73.993668,Entire home/apt,,30,43,0.29,1,211
,40.67966,-73.94086,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.7836,-73.95221,Entire home/apt,155.0,30,9,0.2,77,329
Neighborhood highlights,40.72106,-73.97981,Entire home/apt,,30,8,0.11,1,0
Neighborhood highlights,40.64264,-74.01423,Entire home/apt,170.0,30,1,0.01,1,269
,40.74234,-73.81917,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.78104,-73.98479,Entire home/apt,,30,2,0.04,1,0
Neighborhood highlights,40.74493,-73.99521,Entire home/apt,,180,5,0.04,1,93
Neighborhood highlights,40.69121,-73.96804,Private room,57.0,30,32,0.17,1,335
Neighborhood highlights,40.72372723229208,-73.97625850509617,Private room,227.0,2,658,4.46,2,226
Neighborhood highlights,40.72281,-73.98501,Private room,202.0,1,281,1.76,2,28
,40.8019,-73.93762,Entire home/apt,,30,291,1.52,1,210
Neighborhood highlights,40.72289,-73.98028,Entire home/apt,,30,53,0.28,1,110
,40.76967,-73.94831,Private room,576.0,30,146,0.85,1,365
Neighborhood highlights,40.74261,-74.00353,Private room,151.0,30,251,1.42,1,353
Neighborhood highlights,40.73808,-73.98001,Private room,,30,1,0.01,1,0
Neighborhood highlights,40.69418,-73.94186,Entire home/apt,444.0,30,6,0.21,2,198
,40.68411,-73.96655,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.69499,-73.92823,Entire home/apt,,30,9,0.13,1,0
Neighborhood highlights,40.7428,-73.91294,Entire home/apt,,30,0,0.0,1,0
Neighborhood highlights,40.77974,-73.98592,Entire home/apt,,30,2,0.03,1,0
,40.73917,-74.00207,Entire home/apt,200.0,90,68,0.36,1,290
Neighborhood highlights,40.71802,-73.95724,Entire home/apt,95.0,30,58,0.31,1,306
,40.70967,-73.95922,Entire home/apt,,30,165,0.9,1,0
Neighborhood highlights,40.79936,-73.96155,Private room,112.0,30,79,0.42,1,286
Neighborhood highlights,40.82782,-73.9473,Private room,,30,3,0.04,1,0
Neighborhood highlights,40.74187,-74.00223,Private room,85.0,30,36,0.19,2,364
,40.67747,-74.00146,Private room,,30,317,1.69,4,365
Neighborhood highlights,40.82825,-73.95138,Entire home/apt,200.0,30,214,1.13,1,358
Neighborhood highlights,40.67115,-73.98026,Entire home/apt,201.0,30,93,0.5,1,360
,40.76344,-73.97659,Private room,,30,0,0.0,1,0
Neighborhood highlights,40.86725,-73.92702,Entire home/apt,,30,0,0.0,2,0
,40.75024032592773,-73.97774505615234,Entire home/apt,169.0,30,16,0.24,138,333
,40.74913,-73.97815,Entire home/apt,,30,2,0.03,138,0
Neighborhood highlights,40.81006,-73.94559,Private room,60.0,30,282,1.57,4,53
,40.81562,-73.94674,Private room,,30,3,0.04,1,0
Neighborhood highlights,40.72598,-73.97978,Entire home/apt,150.0,30,168,0.93,6,364
,40.71649,-73.94865,Entire home/apt,,30,29,0.19,1,0
Neighborhood highlights,40.6686,-73.98723,Entire home/apt,90.0,30,479,2.57,3,93
,40.72421,-73.98509,Entire home/apt,,30,25,0.14,1,27
Neighborhood highlights,40.77827,-73.94669,Entire home/apt,,30,19,0.1,1,0
Neighborhood highlights,40.68288,-73.95646,Private room,90.0,30,78,0.42,6,282
Neighborhood highlights,40.68292,-73.96381,Private room,149.0,3,490,2.63,1,299
Neighborhood highlights,40.7672,-73.98464,Entire home/apt,170.0,30,75,0.4,4,335
Neighborhood highlights,40.73405,-74.00281,Entire home/apt,,30,30,0.17,1,0
Neighborhood highlights,40.6327,-73.93184,Private room,,30,4,0.02,1,0
Neighborhood highlights,40.68818,-73.96383,Private room,122.0,2,621,3.35,2,253
Neighborhood highlights,40.79918,-73.96248,Entire home/apt,,30,4,0.02,1,0
,40.80371,-73.95635,Private room,75.0,30,2,0.02,1,360
,40.72967,-73.95352,Entire home/apt,285.0,30,172,0.97,2,31
Neighborhood highlights,40.881,-73.83511,Private room,125.0,30,57,0.38,8,359
Neighborhood highlights,40.68513,-73.96648,Private room,,30,92,0.5,3,364
,40.71512,-73.95899,Entire home/apt,,30,299,1.61,1,217
Neighborhood highlights,40.79245376586914,-73.94074249267578,Private room,,30,102,0.56,1,0
Neighborhood highlights,40.68442,-73.98068,Private room,765.0,3,43,0.27,1,364
Neighborhood highlights,40.8180576,-73.9466707,Private room,,2,268,1.46,1,200
Neighborhood highlights,40.71065139770508,-73.95087432861328,Private room,147.0,4,284,1.54,2,25
Neighborhood highlights,40.74523,-73.92318,Private room,,180,36,0.2,1,274
Neighborhood highlights,40.68216,-73.94594,Entire home/apt,,30,336,1.83,2,0
Neighborhood highlights,40.68253,-73.94295,Entire home/apt,,30,266,1.48,2,0
Neighborhood highlights,40.72863,-73.9842,Entire home/apt,,30,0,0.0,1,0
,40.67634,-73.95143,Private room,72.0,30,46,0.26,1,215
,40.67579,-73.95072,Private room,57.0,30,257,1.46,2,274
Neighborhood highlights,40.7106,-73.95178,Entire home/apt,,30,56,0.31,1,0
Neighborhood highlights,40.70797,-73.94792,Entire home/apt,108.0,30,164,0.91,1,90
,40.68028,-73.99328,Entire home/apt,225.0,30,67,0.41,1,306
,40.72547,-73.98619,Entire home/apt,349.0,30,173,1.36,1,145
Neighborhood highlights,40.68088,-73.99102,Entire home/apt,209.0,30,249,1.53,2,267
Neighborhood highlights,40.71992,-73.99167,Entire home/apt,563.0,30,70,0.38,1,185
Neighborhood highlights,40.67813,-74.00062,Private room,254.0,30,219,1.2,4,364
Neighborhood highlights,40.69287,-73.97108,Private room,110.0,30,230,1.26,2,365
Neighborhood highlights,40.82569,-73.93842,Entire home/apt,,30,18,0.21,1,0
,40.70309,-73.89963,Entire home/apt,428.0,30,13,0.08,10,365
,40.80635,-73.92201,Private room,60.0,30,0,0.0,1,263
,40.8063,-73.95985,Private room,99.0,30,137,0.76,2,167
,40.67979,-73.97978,Entire home/apt,,50,57,0.32,1,67
Neighborhood highlights,40.68009896425498,-73.9746189673198,Private room,86.0,30,77,0.42,3,288
,40.6829,-73.95701,Private room,95.0,30,31,0.18,6,134
,40.77449,-73.95308,Private room,,30,0,0.0,2,0
Neighborhood highlights,40.71516,-73.96448,Entire home/apt,180.0,30,90,0.51,1,48
,40.76336,-73.92099,Private room,,30,0,0.0,1,0
,40.78846,-73.97459,Entire home/apt,190.0,30,38,0.22,1,292
Neighborhood highlights,40.72,-73.99487,Entire home/apt,658.0,30,248,1.4,1,174
,40.72919,-73.95588,Entire home/apt,,30,48,0.27,1,0
Neighborhood highlights,40.77743,-73.97691,Entire home/apt,,30,37,0.21,1,0
,40.77507,-73.93367,Private room,119.0,30,268,1.54,1,365
,40.72364,-73.95013,Entire home/apt,,30,3,0.02,1,0
,40.71624,-73.994,Entire home/apt,154.0,30,423,2.38,1,296
Neighborhood highlights,40.77868,-73.90652,Private room,170.0,3,125,0.7,1,78
Neighborhood highlights,40.71567,-73.87842,Entire home/apt,117.0,30,33,0.18,10,365
,40.70422,-73.89778,Entire home/apt,224.0,30,5,0.03,10,365
,40.71778,-73.87714,Entire home/apt,299.0,30,16,0.09,10,365
,40.80255,-73.95803,Private room,172.0,30,0,0.0,1,365
Neighborhood highlights,40.6789595110935,-73.97409474641334,Private room,107.0,3,216,1.19,3,232
Neighborhood highlights,40.81182,-73.94631,Entire home/apt,,30,144,0.8,4,0
,40.67144,-73.76501,Private room,,30,62,0.34,2,0
,40.79934,-73.94236,Private room,125.0,30,306,1.68,1,359
Neighborhood highlights,40.71065,-73.95087,Private room,145.0,4,127,0.86,2,54
Neighborhood highlights,40.695588790857855,-73.95461923691613,Private room,222.0,30,20,0.11,1,364
,40.73777,-73.95366,Hotel room,,1,71,0.4,29,58
Neighborhood highlights,40.68337,-73.96253,Entire home/apt,,48,11,0.09,1,1
,40.73756,-73.9535,Hotel room,513.0,1,10,0.06,29,57
,40.73777,-73.95366,Private room,428.0,1,10,0.06,29,60
Neighborhood highlights,40.68701,-73.97555,Private room,,30,41,0.23,1,0
Neighborhood highlights,40.81201,-73.94452,Private room,,30,272,1.51,4,21
Neighborhood highlights,40.772472,-73.906075,Entire home/apt,105.0,30,168,0.93,1,264
,40.69003,-73.99338,Private room,292.0,30,295,1.63,1,180
,40.76505,-73.98716,Entire home/apt,,30,130,0.75,1,0
Neighborhood highlights,40.80747,-73.94076,Entire home/apt,116.0,30,393,2.17,2,307
Neighborhood highlights,40.8238,-73.94444,Private room,44.0,30,686,3.9,2,309
Neighborhood highlights,40.71946,-73.98641,Entire home/apt,150.0,30,60,0.33,1,59
,40.73777,-73.95366,Private room,428.0,1,2,0.01,29,60
Neighborhood highlights,40.72408,-73.98154,Entire home/apt,,30,286,1.63,1,334
Neighborhood highlights,40.68433,-73.94469,Entire home/apt,165.0,30,83,0.7,1,288
,40.68769,-73.91788,Entire home/apt,73.0,30,252,1.43,1,335
,40.69132,-73.98573,Private room,166.0,30,5,0.03,1,334
,40.73777,-73.95366,Hotel room,381.0,1,39,0.23,29,58
,40.68513,-73.96648,Entire home/apt,800.0,30,0,0.0,3,358
Neighborhood highlights,40.71974,-73.98393,Entire home/apt,,30,81,0.46,1,179
,40.684569430603325,-73.93840021354636,Entire home/apt,165.0,30,173,0.99,2,290
Neighborhood highlights,40.6736,-73.9551,Entire home/apt,163.0,10,172,0.98,1,78
,40.70271,-73.8993,Entire home/apt,223.0,30,4,0.03,10,365
Neighborhood highlights,40.7253,-73.98028,Entire home/apt,,30,37,0.21,1,0
Neighborhood highlights,40.73072,-73.99275,Entire home/apt,,30,9,0.05,1,0
Neighborhood highlights,40.792667388916016,-73.946533203125,Entire home/apt,125.0,30,197,1.12,4,159
,40.68194,-73.99708,Entire home/apt,,30,6,0.03,1,0
Neighborhood highlights,40.60602,-73.97076,Private room,162.0,30,0,0.0,2,361
,40.79179,-73.93972,Entire home/apt,,30,15,0.09,1,0
Neighborhood highlights,40.68877615321917,-73.97762359693657,Private room,105.0,2,313,2.25,2,295
,40.74937,-73.99467,Entire home/apt,,60,32,0.19,1,37
,40.72852,-73.95655,Private room,,30,261,1.51,1,0
